Var1;Var2;Var3;Var4;Var5
1;8;5;5;1500
2;5;2;5;1500
3;9;6;5;1500
4;7;5;5;1500
5;8;5;5;1500
6;6;8;5;1500
7;1;7;3;3000
8;8;1;5;1500
9;8;1;5;1500
10;5;6;6;600
11;3;1;5;1500
12;6;3;5;1500
13;5;6;3;3000
14;1;6;5;1500
15;6;2;5;1500
16;9;5;5;1500
17;8;2;3;3000
18;8;1;5;1500
19;2;3;5;1500
20;1;8;5;1500
21;1;8;5;1500
22;2;3;5;1500
23;8;4;3;3000
24;6;2;3;3000
25;5;6;3;3000
26;5;1;5;1500
27;5;1;5;1500
28;2;6;5;1500
29;2;6;5;1500
30;7;4;3;3000
31;4;6;3;3000
32;1;2;3;3000
33;3;2;3;3000
34;7;9;6;600
35;7;5;3;3000
36;8;2;5;1500
37;8;2;5;1500
38;1;3;3;3000
39;6;7;3;3000
40;5;9;5;1500
41;5;9;5;1500
42;3;2;5;1500
43;7;4;5;1500
44;3;9;5;1500
45;8;1;3;3000
46;1;9;5;1500
47;7;1;5;1500
48;1;8;3;3000
49;2;7;5;1500
50;3;5;3;3000
51;8;7;6;600
52;2;6;3;3000
53;6;5;5;1500
54;1;5;3;3000
55;3;9;3;3000
56;1;3;3;3000
57;3;8;5;1500
58;3;8;5;1500
59;9;3;5;1500
60;6;2;5;1500
61;6;2;5;1500
62;5;8;3;3000
63;5;2;5;1500
64;5;2;5;1500
65;1;9;3;3000
66;3;4;3;3000
67;1;8;5;1500
68;1;8;5;1500
69;7;5;3;3000
70;4;3;5;1500
71;4;7;5;1500
72;7;9;6;600
73;3;4;5;1500
74;3;4;5;1500
75;1;3;3;3000
76;4;9;5;1500
77;4;9;5;1500
78;5;1;5;1500
79;5;1;5;1500
80;3;8;5;1500
81;3;1;5;1500
82;5;3;3;3000
83;5;2;5;1500
84;5;2;5;1500
85;1;7;3;3000
86;9;4;3;3000
87;5;9;3;3000
88;6;8;3;3000
89;7;4;3;3000
90;1;8;5;1500
91;2;7;3;3000
92;3;7;5;1500
93;3;7;5;1500
94;2;9;3;3000
95;4;6;5;1500
96;4;5;5;1500
97;1;9;5;1500
98;1;9;5;1500
99;8;7;5;1500
100;7;4;6;600
101;3;7;5;1500
102;3;7;5;1500
103;4;9;5;1500
104;4;9;5;1500
105;5;7;5;1500
106;7;3;5;1500
107;7;3;5;1500
108;5;4;5;1500
109;8;3;3;3000
110;9;7;5;1500
111;3;4;3;3000
112;4;1;5;1500
113;4;1;5;1500
114;9;8;6;600
115;5;6;3;3000
116;2;5;5;1500
117;2;5;5;1500
118;4;2;6;600
119;6;4;5;1500
120;9;6;5;1500
121;1;5;3;3000
122;2;3;3;3000
123;3;4;5;1500
